num,first,second
0,-74.018214,40.712969
1,-74.014877,40.710332
2,-74.018166,40.707585
3,-74.009643,40.706812
4,-74.014916,40.714755
5,-74.011099,40.717157
6,-74.009214,40.714246
7,-74.018042,40.715859
8,-74.014254,40.705856
9,-74.014173,40.714835
10,-74.006656,40.712123
11,-74.015865,40.71311
12,-74.020086,40.710258
13,-74.016158,40.716072
14,-74.018464,40.708408
15,-74.009939,40.709595
16,-74.01788,40.715077
17,-74.008444,40.711512
18,-74.013088,40.709175
19,-74.015428,40.708053
20,-74.006249,40.711121
21,-74.007831,40.707285
22,-74.010943,40.708956
23,-74.01497,40.712701
24,-74.013453,40.709831
25,-74.014784,40.716653
26,-74.016775,40.708267
27,-74.005562,40.712851
28,-74.012058,40.713093
29,-74.017349,40.709725
30,-74.018747,40.713122
31,-74.017989,40.715401
32,-74.016827,40.708636
33,-74.011154,40.709187
34,-74.01291,40.712146
35,-74.020511,40.714237
36,-74.013283,40.715843
37,-74.015028,40.714346
38,-74.011739,40.716538
39,-74.009619,40.715072
40,-74.00992,40.71603
41,-74.019263,40.714394
42,-74.016259,40.711219
43,-74.006484,40.711542
44,-74.011015,40.712138
45,-74.019103,40.71346
46,-74.012824,40.712504
47,-74.017343,40.710386
48,-74.014002,40.714393
49,-74.012838,40.710295
50,-74.010765,40.709014
51,-74.00941,40.708534
52,-74.014873,40.715042
53,-74.012337,40.710856
54,-74.015313,40.708041
55,-74.010922,40.709212
56,-74.008128,40.713931
57,-74.010276,40.715979
58,-74.010578,40.716363
59,-74.015283,40.712689
60,-74.010916,40.712485
61,-74.010484,40.716736
62,-74.010095,40.707179
63,-74.013919,40.709093
64,-74.015954,40.710016
65,-74.01611,40.715372
66,-74.006715,40.712757
67,-74.019677,40.71004
68,-74.017693,40.712306
69,-74.009706,40.711411
70,-74.016233,40.706488
71,-74.017005,40.713586
72,-74.014288,40.71698
73,-74.015225,40.710464
74,-74.013569,40.707533
75,-74.019978,40.711236
76,-74.011593,40.71264
77,-74.010455,40.709682
78,-74.006084,40.712233
79,-74.014286,40.716727
80,-74.015321,40.713911
81,-74.017274,40.716127
82,-74.017516,40.717
83,-74.013355,40.705746
84,-74.012969,40.705801
85,-74.010537,40.709641
86,-74.005601,40.713742
87,-74.006151,40.711506
88,-74.008735,40.711721
89,-74.015388,40.708258
90,-74.01861,40.709162
91,-74.020154,40.710395
92,-74.011107,40.70732
93,-74.006596,40.714104
94,-74.008533,40.711243
95,-74.014758,40.711726
96,-74.020636,40.709608
97,-74.013015,40.709299
98,-74.008192,40.715015
99,-74.009225,40.714234
100,-74.011488,40.716548
101,-74.006232,40.714177
102,-74.010517,40.716467
103,-74.017523,40.710254
104,-74.016118,40.709105
