num,x,y
1,32.205609,31.794388
2,31.231352,33.378132
3,30.438987,33.125897
4,30.062514,32.160704
5,29.671359,33.337847
6,32.200073,33.188146
7,32.880551,31.734786
8,29.612482,31.951139
9,29.652246,31.932648
10,32.709219,31.159441
11,30.817742,31.744993
12,32.102918,31.212732
13,32.163721,30.867012
14,31.777196,30.72055
15,30.426678,31.032762
16,31.661427,32.447363
17,32.976019,31.909186
18,31.940728,32.422923
19,30.745481,30.926253
20,32.409359,31.383561
21,31.940459,32.72511
22,32.116816,31.206954
23,30.799956,33.642756
24,31.638421,31.212293
25,30.178047,31.724588
26,30.866,33.49451
27,31.638952,33.702497
28,30.332514,30.623544
29,31.588624,31.452413
30,30.843994,32.669737
31,30.861344,32.038274
32,29.12513,32.422932
33,32.54427,32.795447
34,31.63717,31.707668
35,32.090281,32.696803
36,31.107111,30.419059
37,31.835872,33.679217
38,31.086794,32.524648
39,30.43639,33.66958
40,29.858462,32.459289
41,32.713884,32.156132
42,31.185381,32.872929
43,31.124076,31.991817
44,32.595473,31.74929
45,29.21445,32.175207
46,32.412771,32.921089
47,32.108571,32.472451
48,31.825235,30.839339
49,33.034367,32.007015
50,31.703164,31.408494
51,30.59205,31.805819
52,30.16866,30.630862
53,31.844939,31.787266
54,31.728429,31.480934
55,31.944039,31.506784
56,29.847001,31.60523
57,31.082384,30.944806
58,32.904144,31.627518
59,29.769725,31.016351
60,29.995258,31.162888
61,30.174773,33.271431
62,30.871042,31.86896
63,29.732594,32.090568
64,31.265966,31.243577
65,32.519773,32.362717
66,30.726378,33.716507
67,29.774444,30.857569
68,32.377972,33.2874
69,31.997792,31.52668
70,30.829476,31.455791
71,29.784781,33.434862
72,31.570247,33.393203
73,31.002257,32.593262
74,30.244377,30.638495
75,32.991282,32.601031
76,31.634209,31.440041
77,29.488772,33.136106
78,31.551348,31.814865
79,29.623255,32.741959
80,32.368697,33.237141
81,30.199985,32.16575
82,29.620601,31.832366
83,31.634136,31.404294
84,32.629917,32.360163
85,29.412224,31.146567
86,32.225546,31.75545
87,30.052823,32.132444
88,32.718779,32.3771
89,30.572466,31.709598
90,30.807821,33.527856
91,30.344919,33.59731
92,30.589121,33.228307
93,30.509641,30.494221
94,31.506949,32.850616
95,31.497993,32.607579
96,30.580515,31.420132
97,31.176939,32.111057
98,30.73914,30.403061
99,30.996465,32.777823
100,31.000659,30.438138
101,30.29194,32.261633
102,29.478769,31.080642
103,31.58875,31.92741
104,32.398923,33.120232
105,30.893569,32.716884
106,32.758237,31.632925
107,32.31153,30.947321
108,30.642237,30.498048
109,31.197527,30.984489
110,31.609783,31.476408
111,29.164892,32.335433
112,30.934711,31.575534
113,30.432938,32.922887
114,29.523869,32.207717
115,30.904662,30.980755
116,29.689154,32.794389
117,30.601501,30.882942
118,31.616314,31.452545
119,31.646692,33.129226
120,31.048158,30.478715
121,30.929946,32.183792
122,30.575969,32.315404
123,31.357576,32.487644
124,31.30998,31.824876
125,30.880032,31.884672
126,30.342215,32.312882
127,31.615292,31.672071
128,31.497101,32.333627
129,30.855518,32.702049
130,30.522463,31.994246
131,31.333726,32.359338
132,31.601356,32.547959
133,31.426825,31.936754
134,31.023691,31.533754
135,30.763539,32.62913
136,30.853137,31.636068
137,30.452498,31.81189
138,30.761489,32.254873
139,30.954243,32.596287
140,31.261182,31.823419
141,31.023411,32.578254
142,30.700457,32.151191
143,31.34249,31.771178
144,30.613608,31.656422
145,30.653712,31.637306
146,30.698207,32.605182
147,30.531854,32.221573
148,31.692365,31.879783
149,30.822405,32.183436
150,30.541894,32.279523
151,30.659042,32.555944
152,31.02423,31.772064
153,30.803703,31.603441
154,31.128431,32.763916
155,30.411318,32.38966
156,31.134999,32.420054
157,30.776568,32.185614
158,31.268863,31.571074
159,31.085716,32.025377
160,30.420259,32.252022
161,30.565728,31.954207
162,31.722824,32.309839
163,31.291413,32.086411
164,30.550509,32.140963
165,30.53389,31.763242
166,30.654545,32.108217
167,31.398923,32.517092
168,30.634237,32.193334
169,30.848059,32.287485
170,30.839265,32.378958
171,30.556659,32.34259
172,30.872442,32.512815
173,30.673698,32.408962
174,31.483486,31.897767
175,31.565923,32.64068
176,31.156974,32.025302
177,31.278042,32.07279
178,30.411253,31.772012
179,31.786244,31.957058
180,30.935202,32.70668
181,30.525965,31.776207
182,30.551784,32.173112
183,31.170437,32.165167
184,31.33027,31.76647
185,30.752242,31.567888
186,30.356562,32.433924
187,30.601956,32.544085
188,30.640967,32.158729
189,30.434853,32.347664
190,30.813665,31.565732
